year,month,value
1996,09,-0.49
1996,10,-0.97
1996,11,-0.97
1996,12,-0.9
1997,01,-1.15
1997,02,-0.55
1997,03,-0.58
1997,04,-0.6
1997,05,-0.09
1997,06,-0.6
1997,07,-0.22
1997,08,-0.72
1997,09,0.2
1997,10,0.21
1997,11,0.04
1997,12,0.29
1998,01,0.16
1998,02,0.54
1998,03,0.58
1998,04,0.54
1998,05,0.45
1998,06,0.56
1998,07,0.1
1998,08,0.08
1998,09,0.12
1998,10,0.22
1998,11,0.52
1998,12,0.28
1999,01,0.02
1999,02,-0.23
1999,03,-0.16
1999,04,0.09
1999,05,0.2
1999,06,0.53
1999,07,0.32
1999,08,0.24
1999,09,-0.18
1999,10,-0.46
1999,11,-0.27
1999,12,0.01
2000,01,-0.05
2000,02,0.04
2000,03,0.29
2000,04,-0.37
2000,05,-0.16
2000,06,-0.41
2000,07,-0.16
2000,08,-0.26
2000,09,-0.34
2000,10,-0.48
2000,11,-0.3
2000,12,-0.48
2001,01,-0.41
2001,02,-0.37
2001,03,-0.01
2001,04,-0.17
2001,05,0.17
2001,06,-0.39
2001,07,-0.41
2001,08,-0.5
2001,09,-0.41
2001,10,-0.39
2001,11,-0.72
2001,12,-0.64
2002,01,-0.21
2002,02,-0.16
2002,03,-0.18
2002,04,-0.15
2002,05,-0.04
2002,06,0.35
2002,07,0.31
2002,08,0.17
2002,09,-0.62
2002,10,-0.38
2002,11,-0.13
2002,12,-0.1
2003,01,0.11
2003,02,0.1
2003,03,0.49
2003,04,0.04
2003,05,0.18
2003,06,-0.05
